Provider	Provider Country	SKU	Developer	Title	Version	Product Type Identifier	Units	Developer Proceeds	Begin Date	End Date	Customer Currency	Country Code	Currency of Proceeds	Apple Identifier	Customer Price	Promo Code	Parent Identifier	Subscription	Period	Category	CMB	Device	Supported Platforms	Proceeds Reason	Preserved Pricing	Client	Order Type
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.6	1F	1	0.00	03/29/2026	03/29/2026	IDR	ID	 	6757763969	0.00	 	 	 	 	Health & Fitness		iPhone	iOS and macOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.6	1F	1	0.00	03/29/2026	03/29/2026	CNY	CN	 	6757763969	0.00	 	 	 	 	Health & Fitness		iPhone	iOS and macOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.4	F3	1	0.00	03/29/2026	03/29/2026	AUD	AU	AUD	6757763969	0.00	 	 	 	 	Health & Fitness		Desktop	iOS and macOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.6	1F	3	0.00	03/29/2026	03/29/2026	USD	US	 	6757763969	0.00	 	 	 	 	Health & Fitness		iPhone	iOS and macOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.6	F7	2	0.00	03/29/2026	03/29/2026	EUR	DE	EUR	6757763969	0.00	 	 	 	 	Health & Fitness		iPhone	iOS and macOS	 	 	 	 
APPLE	US	bontecou.Sync-md	Cody Russell Bontecou	Sync.md	1.6	1F	1	0.00	03/29/2026	03/29/2026	TRY	TR	 	6758960270	0.00	 	 	 	 	Developer Tools		iPad	iOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.4	F1	1	0.00	03/29/2026	03/29/2026	RUB	RU	 	6757763969	0.00	 	 	 	 	Health & Fitness		Desktop	iOS and macOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.4	F7	1	0.00	03/29/2026	03/29/2026	AUD	AU	AUD	6757763969	0.00	 	 	 	 	Health & Fitness		Desktop	iOS and macOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.6	F7	4	0.00	03/29/2026	03/29/2026	AUD	AU	AUD	6757763969	0.00	 	 	 	 	Health & Fitness		iPhone	iOS and macOS	 	 	 	 
APPLE	US	bontecou.Sync-md	Cody Russell Bontecou	Sync.md	1.7	1F	41	0.00	03/29/2026	03/29/2026	USD	US	 	6758960270	0.00	 	 	 	 	Developer Tools		iPhone	iOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.6	F7	1	0.00	03/29/2026	03/29/2026	AUD	AU	AUD	6757763969	0.00	 	 	 	 	Health & Fitness		iPad	iOS and macOS	 	 	 	 
APPLE	US	bontecou.Sync-md	Cody Russell Bontecou	Sync.md	1.7	7F	5	0.00	03/29/2026	03/29/2026	USD	US	USD	6758960270	0.00	 	 	 	 	Developer Tools		iPhone	iOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.6	F7	1	0.00	03/29/2026	03/29/2026	EUR	NL	EUR	6757763969	0.00	 	 	 	 	Health & Fitness		iPhone	iOS and macOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.6	F7	1	0.00	03/29/2026	03/29/2026	USD	AM	USD	6757763969	0.00	 	 	 	 	Health & Fitness		iPhone	iOS and macOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.4	F7	3	0.00	03/29/2026	03/29/2026	CHF	CH	CHF	6757763969	0.00	 	 	 	 	Health & Fitness		Desktop	iOS and macOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.6	F7	6	0.00	03/29/2026	03/29/2026	USD	US	USD	6757763969	0.00	 	 	 	 	Health & Fitness		iPhone	iOS and macOS	 	 	 	 
